LS01A1,LS01D,LS02A1,LS02C1,LS02D,LS03A2,LS03D,LS04A,LS04C,LS04D,LS05A1,LS05C,LS05D,LS06A2,LS06C,LS06D,LS07A,LS07D,LS08A,LS08C,LS08D,LS09A,LS09C,LS09D,LS10A,LS10C,LS10D,LS11A1,LS11C,LS11D,LS12A1,LS12C,LS13A1,LS13D,LS14A1,LS14C,LS15A1,LS15C,LS15D,LS16B,LS16C,LS16D,LS17A,LS17C,LS17D,LS18A1,LS18C,LS18D,LS19A1,LS19C,LS19D,LS20A1,LS20D,LS21D,LS22A1,LS22C,LS22D,LS23A,LS23C,LS24B,LS24C,LS24D,LS25A1,LS25C,LS26B,LS26C,LS26D,LS27A,LS27C,LS27D
654,49,62,8,11,11,32,26,4,75,101,1,4008,37,3,984,1752,3,327,207,6,17455,432,22,27623,82,69,3,2,49,4,8,16,6,25,30,1456,3537,5108,10,1,0,0,4,231,244,12,348,17,16,13,103,3495,485,147,4,65,31,1,6,1,687,306,2,4,3,10,1359,43,2305
1174,39,2,3,0,6,0,30,3,116,160,5,3975,2,20,71,1181,2,119,110,0,4625,199,24,11421,50,4,0,2,39,0,4,4,1,9,28,1431,2681,4501,0,6,0,0,3,2,245,47,376,423,39,22,6,2,531,125,5,38,154,268,0,1,87,8,0,1,0,2,710,106,1094
581,75,26,32,39,196,492,360,207,1610,52,77,2326,74,273,879,156,20,743,346,47,3135,144,69,3749,32,689,72,23,328,27,133,279,33,38,423,196,1612,2150,1868,0,21,5,11,2267,171,51,287,113,10,74,21,128,1178,38,247,19,227,351,238,99,164,2116,20,11,351,606,417,691,919
0,0,0,72,0,4,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,4,0,0,0,0,0,2,132,0,0,0,0,66,60,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1670,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0
225,197,236,250,75,55,26,59,6,18,47,6,1294,69,6,169,691,8,546,78,40,5191,150,45,8398,39,46,24,16,267,31,33,62,42,96,80,723,1128,2042,33,7,7,0,2,692,59,8,178,20,1,0,495,456,2318,54,0,27,142,53,6,4,283,68,1,7,9,3,438,16,362
1209,98,196,173,34,43,122,77,19,127,205,9,6540,141,2,1421,3116,10,483,366,26,27879,764,66,44809,180,393,25,7,356,7,20,49,41,127,271,2164,4940,7824,21,11,5,2,0,609,336,24,537,391,18,51,272,3055,2592,251,147,112,161,7,48,6,1226,776,12,3,2,17,2015,100,2767
62,0,0,3,0,0,0,0,0,6,0,0,128,0,0,0,117,0,8,16,0,92,57,2,1743,3,0,0,0,10,0,0,0,0,4,0,9,78,44,0,0,0,0,0,0,28,0,23,13,0,0,0,0,149,4,0,4,8,0,0,0,29,0,0,0,0,0,70,2,18
0,0,0,0,0,0,0,0,0,0,10,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,207,251,0,0,0,0,0,0,16,0,20,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1613,68,0,0,0,6,0,27,2,124,179,1,7256,0,0,5,4015,0,560,473,0,35449,876,49,51322,154,0,0,8,1,2,9,19,4,0,0,2709,6322,9486,3,1,1,2,0,0,535,5,652,12,0,2,18,14,0,324,16,92,0,0,2,0,900,17,0,5,0,0,2614,101,1583
11379,2329,6284,6,529,2767,4245,1423,8367,506,43,1252,9008,4135,3286,6840,904,110,9633,9554,5585,5091,7569,6993,10787,9756,3493,33469,32754,13914,6622,25378,5651,13894,3,5914,553,1155,6442,5514,396,14,1907,5170,238,284,741,4633,3894,73,3761,2292,1193,1000,37,5098,28,3703,5526,4562,4124,2894,12917,4978,6078,3407,1303,2924,2686,1237
907,44,0,348,4,13,0,4,3,79,38,2,3946,0,2,8,2246,10,362,271,5,20357,592,26,29923,79,2,4,8,2164,0,0,3,0,802,568,854,2799,3215,4,15,0,30,0,56,232,4,411,324,5,12,4,69,20351,137,16,63,1268,0,0,0,454,1,4,2,0,0,1311,51,640
197,10,0,6,2,16,52,0,0,36,8,0,1193,0,0,0,655,0,93,96,0,5191,121,4,8098,18,0,0,0,15,0,0,21,1,8,10,172,877,704,0,0,0,0,0,0,89,0,94,0,0,0,0,0,228,34,0,20,15,0,0,0,118,0,0,0,0,0,381,10,196
901,388,398,45,180,284,1185,225,164,266,180,57,6013,331,45,4594,1659,31,1320,784,152,17550,764,359,28759,780,3982,194,152,1065,92,437,263,363,45,2530,2168,3924,9518,298,133,7,16,44,2021,237,182,603,379,12,443,636,8489,2408,183,867,84,460,141,548,30,1608,3975,211,33,190,218,1537,330,2753
129,20,14,9,5,7,121,3,2,17,19,9,995,10,8,75,382,0,53,34,2,3446,116,7,5127,35,164,0,0,48,0,3,3,11,14,27,358,740,1324,1,0,0,0,0,11,41,2,113,3,0,0,10,38,407,18,0,14,47,2,18,1,117,197,0,0,0,2,287,20,258
5215,633,2016,3,634,1000,1396,1212,147,266,40,159,1776,8327,6,3641,11968,5924,336,113,187,5954,183,96,10284,57,2564,2170,540,1417,33,85,1453,331,0,987,280,765,2627,4060,0,0,8,0,4,94,4,173,102,4,99,834,5050,245,133,10,52,1694,3680,44,65,1270,108,13,215,271,150,3112,1294,1150
0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0